id,title,category,crop,content,source,tags,region,language,verified
eggplant-fruit-borer,Eggplant Fruit Borer,pest,eggplant,"Eggplant fruits have holes. What should I do?

Holes in eggplant fruit often mean fruit borer. Collect and destroy bored fruits, stake plants so you can inspect them easily, and do not leave fallen fruit in the field where pests continue breeding.

Symptoms: holes in fruit, frass near entry

Possible causes: fruit and shoot borer

Solution: Remove and destroy bored fruits. Stake plants for easier scouting. Avoid leaving fallen fruit in the field.",internal,eggplant;pest;fruit;and;shoot;borer,general,en,true
onion-purple-blotch,Onion Purple Blotch,disease,onion,"Onion leaves have purple lesions. Is that disease?

Purple lesions and tip dieback on onion leaves can be purple blotch. Reduce leaf wetness, improve drainage and spacing, and clear infected debris after harvest to lower next-season risk.

Symptoms: purple lesions on leaves, tip dieback

Possible causes: purple blotch fungus

Solution: Avoid overhead irrigation. Improve drainage. Do not overcrowd. Remove infected debris after harvest.",internal,onion;disease;purple;blotch;fungus;lesions,general,en,true
maize-fall-armyworm,Maize Fall Armyworm,pest,maize,"My maize has larvae in the whorl and leaf damage.

Larvae in the maize whorl with windowpane leaf damage often indicate fall armyworm. Scout early, crush small numbers by hand, keep the field clean, and spray only when local guidance says the infestation is above threshold.

Symptoms: windowpane feeding, larvae in whorl, frass

Possible causes: fall armyworm

Solution: Scout whorls early morning. Crush larvae when few. Maintain field hygiene. Follow local threshold advice before spraying.",internal,maize;pest;fall;armyworm;windowpane;feeding,general,en,true
maize-nitrogen-deficiency,Maize Leaf Yellowing (Nitrogen Deficiency),fertilizer,maize,"Maize leaves show yellow V shapes from the tip.

A yellow V from the leaf tip on maize commonly signals nitrogen deficiency. Side-dress nitrogen at the recommended growth stage, control weeds, and avoid waterlogged soil that stresses roots.

Symptoms: V-shaped yellowing from leaf tip, pale plants

Possible causes: nitrogen deficiency

Solution: Side-dress nitrogen at recommended stage. Keep weeds down so they do not compete. Avoid waterlogging.",internal,maize;fertilizer;nitrogen;deficiency;shaped;yellowing,general,en,true
bean-rust,Bean Rust,disease,bean,"Bean leaves have rusty spots underneath.

Rusty pustules under bean leaves are often bean rust. Prefer resistant varieties, avoid handling wet plants, remove badly infected leaves, and rotate legumes to reduce disease buildup.

Symptoms: rusty pustules under leaves, yellowing

Possible causes: bean rust fungus

Solution: Choose resistant varieties if available. Avoid working plants when wet. Remove badly infected leaves. Rotate legumes.",internal,bean;disease;rust;fungus;rusty,general,en,true
watering-overwater-yellow,Overwatering — Yellow Leaves,water_management,general,"Plants wilt even though the soil is wet. Why?

Wilting in wet soil often means roots are stressed from overwatering or poor drainage. Allow the top soil to dry a little between irrigations, improve drainage, and water in the morning so foliage dries faster.

Symptoms: yellow soft leaves, soggy soil, wilting despite wet soil

Possible causes: overwatering, poor drainage

Solution: Let soil dry slightly between irrigations. Improve drainage. Water in the morning. Check root health if plants decline.",internal,general;water_management;overwatering;poor;drainage;yellow,general,en,true
watering-underwater-wilt,Underwatering — Wilting Plants,water_management,general,"How often should I water vegetable beds in hot weather?

In hot weather, water deeply less often rather than light daily sprinkles. Mulch to hold moisture and irrigate early morning. Watch for dry soil and midday wilt that recovers overnight as signs plants need more water.

Symptoms: dry soil, leaf curling, midday wilt that recovers overnight

Possible causes: underwatering

Solution: Water deeply but less often. Mulch to reduce evaporation. Water early morning. Adjust schedule in hot weather.",internal,general;water_management;underwatering;dry;soil;leaf,general,en,true
fertilizer-npk-basics,NPK Fertilizer Basics,fertilizer,general,"What does NPK mean for fertilizer?

N supports leafy growth, P supports roots and flowering, and K supports overall strength and stress tolerance. Use amounts suited to the crop stage, prefer split applications, and stop if leaves show fertilizer burn.

Symptoms: slow growth, pale leaves, weak stems

Possible causes: nutrient imbalance

Solution: Use balanced fertilizer based on crop stage. Do not apply more after seeing leaf burn. Prefer split applications.",internal,general;fertilizer;nutrient;imbalance;slow;growth,general,en,true
fertilizer-leaf-burn,Fertilizer Leaf Burn,fertilizer,general,"Leaves burned after I fertilized. What happened?

Brown edges after fertilizing often mean salt burn from too much fertilizer or application against the stem. If drainage is good, gently flush the soil with water and use a lower dose next time.

Symptoms: brown leaf edges after fertilizing, white crust on soil

Possible causes: excess fertilizer, salt burn

Solution: Flush soil gently with clean water if drainage is good. Reduce next dose. Never place fertilizer against stems.",internal,general;fertilizer;excess;salt;burn,general,en,true
compost-basics,Composting Basics,cultivation,general,"How can compost help my farm soil?

Well-rotted compost improves soil structure, moisture holding, and nutrient supply. Mix it into the topsoil before planting. Keep compost piles moist and turned so they break down evenly.

Symptoms: poor soil structure, low organic matter

Possible causes: lack of organic matter

Solution: Add well-rotted compost before planting. Mix into topsoil. Keep compost moist and aerated while making it.",internal,general;cultivation;lack;organic;matter;poor,general,en,true
mulching-basics,Mulching Benefits,cultivation,general,"Should I mulch vegetable beds?

Yes. Mulch slows drying, reduces weeds, and protects soil. Keep mulch slightly away from stems to avoid rot, and replenish it as it breaks down.

Symptoms: fast soil drying, many weeds

Possible causes: exposed soil

Solution: Apply organic mulch around plants. Keep mulch a little away from stems. Replenish as it breaks down.",internal,general;cultivation;exposed;soil;fast;drying,general,en,true
seedling-damping-off,Seedling Damping-off,disease,general,"My seedlings fall over and die suddenly.

Sudden collapse at the soil line is often damping-off. Use clean trays, avoid overwatering, improve airflow, and discard infected seedlings so the fungus does not spread.

Symptoms: seedlings collapse at soil line, fuzzy mold

Possible causes: damping-off fungi

Solution: Use clean trays and well-drained media. Avoid overwatering. Give light airflow. Discard infected seedlings.",internal,general;disease;damping;off;fungi;seedlings,general,en,true
pest-scouting-habit,Early Pest Scouting,cultivation,general,"How do I catch pest problems early?

Scout fields a few times each week. Look under leaves and at young shoots. Early detection lets you handpick or use milder methods before damage becomes severe.

Symptoms: unexpected crop damage

Possible causes: missed early pest signs

Solution: Walk fields 2-3 times a week. Check leaf undersides and growing tips. Act early when pests are few.",internal,general;cultivation;missed;early;pest;signs,general,en,true
safety-pesticide-disclaimer,Pesticide Safety Guidelines,prevention,general,"When should I use pesticide on crops?

Use pesticides only when scouting shows high pressure and local guidance supports it. Wear protection, follow label rates exactly, and keep chemicals away from children, food, and water sources. Prefer non-chemical methods first when they work.

Symptoms: need chemical control

Possible causes: high pest or disease pressure

Solution: Use pesticides only with local approved guidance. Wear protective gear. Follow label rates. Keep away from children and water sources.",internal,general;prevention;high;pest;disease;pressure,general,en,true
extension-officer-when,When to Contact an Agriculture Officer,prevention,general,"When should I ask an agriculture officer for help?

Ask a local extension officer when you are unsure of the problem, the damage is spreading fast, or chemicals seem necessary. Bring clear photos of leaves, stems, and the whole plant, and do not guess pesticide doses.

Symptoms: unsure diagnosis, spreading fast, chemical needed

Possible causes: uncertain or high-risk problem

Solution: Contact a local agriculture extension officer. Share clear photos of leaves, stems, and whole plants. Do not guess chemical doses.",internal,general;prevention;uncertain;high;risk;problem,general,en,true
