id,crop,topic,symptoms,possible_causes,solution,region,source,language,verified,question,answer
eggplant-fruit-borer,eggplant,pest,"holes in fruit; frass near entry",fruit and shoot borer,"Remove and destroy bored fruits. Stake plants for easier scouting. Avoid leaving fallen fruit in the field.",general,internal,en,true,"Eggplant fruits have holes. What should I do?","Holes in eggplant fruit often mean fruit borer. Collect and destroy bored fruits, stake plants so you can inspect them easily, and do not leave fallen fruit in the field where pests continue breeding."
onion-purple-blotch,onion,disease,"purple lesions on leaves; tip dieback",purple blotch fungus,"Avoid overhead irrigation. Improve drainage. Do not overcrowd. Remove infected debris after harvest.",general,internal,en,true,"Onion leaves have purple lesions. Is that disease?","Purple lesions and tip dieback on onion leaves can be purple blotch. Reduce leaf wetness, improve drainage and spacing, and clear infected debris after harvest to lower next-season risk."
maize-fall-armyworm,maize,pest,"windowpane feeding; larvae in whorl; frass",fall armyworm,"Scout whorls early morning. Crush larvae when few. Maintain field hygiene. Follow local threshold advice before spraying.",general,internal,en,true,"My maize has larvae in the whorl and leaf damage.","Larvae in the maize whorl with windowpane leaf damage often indicate fall armyworm. Scout early, crush small numbers by hand, keep the field clean, and spray only when local guidance says the infestation is above threshold."
maize-nitrogen-deficiency,maize,nutrient_deficiency,"V-shaped yellowing from leaf tip; pale plants",nitrogen deficiency,"Side-dress nitrogen at recommended stage. Keep weeds down so they do not compete. Avoid waterlogging.",general,internal,en,true,"Maize leaves show yellow V shapes from the tip.","A yellow V from the leaf tip on maize commonly signals nitrogen deficiency. Side-dress nitrogen at the recommended growth stage, control weeds, and avoid waterlogged soil that stresses roots."
bean-rust,bean,disease,"rusty pustules under leaves; yellowing",bean rust fungus,"Choose resistant varieties if available. Avoid working plants when wet. Remove badly infected leaves. Rotate legumes.",general,internal,en,true,"Bean leaves have rusty spots underneath.","Rusty pustules under bean leaves are often bean rust. Prefer resistant varieties, avoid handling wet plants, remove badly infected leaves, and rotate legumes to reduce disease buildup."
watering-overwater-yellow,general,watering,"yellow soft leaves; soggy soil; wilting despite wet soil",overwatering; poor drainage,"Let soil dry slightly between irrigations. Improve drainage. Water in the morning. Check root health if plants decline.",general,internal,en,true,"Plants wilt even though the soil is wet. Why?","Wilting in wet soil often means roots are stressed from overwatering or poor drainage. Allow the top soil to dry a little between irrigations, improve drainage, and water in the morning so foliage dries faster."
watering-underwater-wilt,general,watering,"dry soil; leaf curling; midday wilt that recovers overnight",underwatering,"Water deeply but less often. Mulch to reduce evaporation. Water early morning. Adjust schedule in hot weather.",general,internal,en,true,"How often should I water vegetable beds in hot weather?","In hot weather, water deeply less often rather than light daily sprinkles. Mulch to hold moisture and irrigate early morning. Watch for dry soil and midday wilt that recovers overnight as signs plants need more water."
fertilizer-npk-basics,general,fertilizer,"slow growth; pale leaves; weak stems",nutrient imbalance,"Use balanced fertilizer based on crop stage. Do not apply more after seeing leaf burn. Prefer split applications.",general,internal,en,true,"What does NPK mean for fertilizer?","N supports leafy growth, P supports roots and flowering, and K supports overall strength and stress tolerance. Use amounts suited to the crop stage, prefer split applications, and stop if leaves show fertilizer burn."
fertilizer-leaf-burn,general,fertilizer,"brown leaf edges after fertilizing; white crust on soil",excess fertilizer; salt burn,"Flush soil gently with clean water if drainage is good. Reduce next dose. Never place fertilizer against stems.",general,internal,en,true,"Leaves burned after I fertilized. What happened?","Brown edges after fertilizing often mean salt burn from too much fertilizer or application against the stem. If drainage is good, gently flush the soil with water and use a lower dose next time."
compost-basics,general,technique,"poor soil structure; low organic matter",lack of organic matter,"Add well-rotted compost before planting. Mix into topsoil. Keep compost moist and aerated while making it.",general,internal,en,true,"How can compost help my farm soil?","Well-rotted compost improves soil structure, moisture holding, and nutrient supply. Mix it into the topsoil before planting. Keep compost piles moist and turned so they break down evenly."
mulching-basics,general,technique,"fast soil drying; many weeds",exposed soil,"Apply organic mulch around plants. Keep mulch a little away from stems. Replenish as it breaks down.",general,internal,en,true,"Should I mulch vegetable beds?","Yes. Mulch slows drying, reduces weeds, and protects soil. Keep mulch slightly away from stems to avoid rot, and replenish it as it breaks down."
seedling-damping-off,general,disease,"seedlings collapse at soil line; fuzzy mold",damping-off fungi,"Use clean trays and well-drained media. Avoid overwatering. Give light airflow. Discard infected seedlings.",general,internal,en,true,"My seedlings fall over and die suddenly.","Sudden collapse at the soil line is often damping-off. Use clean trays, avoid overwatering, improve airflow, and discard infected seedlings so the fungus does not spread."
pest-scouting-habit,general,technique,"unexpected crop damage",missed early pest signs,"Walk fields 2-3 times a week. Check leaf undersides and growing tips. Act early when pests are few.",general,internal,en,true,"How do I catch pest problems early?","Scout fields a few times each week. Look under leaves and at young shoots. Early detection lets you handpick or use milder methods before damage becomes severe."
safety-pesticide-disclaimer,general,safety,"need chemical control","high pest or disease pressure","Use pesticides only with local approved guidance. Wear protective gear. Follow label rates. Keep away from children and water sources.",general,internal,en,true,"When should I use pesticide on crops?","Use pesticides only when scouting shows high pressure and local guidance supports it. Wear protection, follow label rates exactly, and keep chemicals away from children, food, and water sources. Prefer non-chemical methods first when they work."
extension-officer-when,general,safety,"unsure diagnosis; spreading fast; chemical needed",uncertain or high-risk problem,"Contact a local agriculture extension officer. Share clear photos of leaves, stems, and whole plants. Do not guess chemical doses.",general,internal,en,true,"When should I ask an agriculture officer for help?","Ask a local extension officer when you are unsure of the problem, the damage is spreading fast, or chemicals seem necessary. Bring clear photos of leaves, stems, and the whole plant, and do not guess pesticide doses."
